Tue, 04 Aug 2020 16:50:35 GMT | INFO | loggers.log | Socket -Umeh-MsuamP7H-fAAAm disconnected | 
Tue, 04 Aug 2020 16:50:37 GMT | INFO | loggers.log | Socket yLos_hQG-n_2_sYsAAAn connected | 
Tue, 04 Aug 2020 16:50:37 GMT | INFO | loggers.log | Socket GB3627xWcI3DySXqAAAo connected | 
Tue, 04 Aug 2020 16:50:37 GMT | INFO | loggers.log | rooms successfully created | 
Tue, 04 Aug 2020 16:57:33 GMT | INFO | loggers.log | Socket yLos_hQG-n_2_sYsAAAn disconnected | 
Tue, 04 Aug 2020 16:57:33 GMT | INFO | loggers.log | Socket GB3627xWcI3DySXqAAAo disconnected | 
Tue, 04 Aug 2020 16:57:36 GMT | INFO | loggers.log | Socket Lt9R6qOrs4hrMqnGAAAp connected | 
Tue, 04 Aug 2020 16:57:36 GMT | INFO | loggers.log | Socket 2GFAh7--mKwFpAhIAAAq connected | 
Tue, 04 Aug 2020 16:57:36 GMT | INFO | loggers.log | rooms successfully created | 
Tue, 04 Aug 2020 17:01:21 GMT | INFO | loggers.log | Socket 2GFAh7--mKwFpAhIAAAq disconnected | 
Tue, 04 Aug 2020 17:01:21 GMT | INFO | loggers.log | Socket Lt9R6qOrs4hrMqnGAAAp disconnected | 
Tue, 04 Aug 2020 17:01:24 GMT | INFO | loggers.log | Socket m9jXa8pp_dbnEdnrAAAr connected | 
Tue, 04 Aug 2020 17:01:24 GMT | INFO | loggers.log | Socket qJsHmq7cABYAzbbcAAAs connected | 
Tue, 04 Aug 2020 17:01:26 GMT | INFO | loggers.log | rooms successfully created | 
Tue, 04 Aug 2020 17:18:01 GMT | INFO | loggers.log | Socket m9jXa8pp_dbnEdnrAAAr disconnected | 
Tue, 04 Aug 2020 17:18:01 GMT | INFO | loggers.log | Socket qJsHmq7cABYAzbbcAAAs disconnected | 
Tue, 04 Aug 2020 17:18:03 GMT | INFO | loggers.log | Socket 9-YrHmr9bo1k8LwbAAAt connected | 
Tue, 04 Aug 2020 17:18:03 GMT | INFO | loggers.log | Socket QTfY_h0JBPskDSr0AAAu connected | 
Tue, 04 Aug 2020 17:18:04 GMT | INFO | loggers.log | rooms successfully created | 
Tue, 04 Aug 2020 17:23:59 GMT | ERROR | loggers.log | Cannot read property 'filterUserData' of null | 
